"都道府県","変更前","変更後","変更日","典拠"
"愛知県","愛知郡長久手町","長久手市","平成24年1月4日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","幡豆郡一色町","西尾市","平成23年4月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","幡豆郡吉良町","西尾市","平成23年4月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","幡豆郡幡豆町","西尾市","平成23年4月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","海部郡七宝町","あま市","平成22年3月22日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","海部郡美和町","あま市","平成22年3月22日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","海部郡甚目寺町","あま市","平成22年3月22日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","宝飯郡小坂井町","豊川市","平成22年2月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","西加茂郡三好町","みよし市","平成22年1月4日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","西春日井郡春日町","清須市","平成21年10月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","宝飯郡音羽町","豊川市","平成20年1月15日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","宝飯郡御津町","豊川市","平成20年1月15日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","海部郡弥富町","弥富市","平成18年4月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","海部郡十四山村","弥富市","平成18年4月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","西春日井郡師勝町","北名古屋市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","西春日井郡西春町","北名古屋市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","宝飯郡一宮町","豊川市","平成18年2月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","額田郡額田町","岡崎市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","北設楽郡富山村","北設楽郡豊根村","平成17年11月27日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","北設楽郡津具村","北設楽郡設楽町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","渥美郡渥美町","田原市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","南設楽郡鳳来町","新城市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","南設楽郡作手村","新城市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","西春日井郡西枇杷島町","清須市","平成17年7月7日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","西春日井郡清洲町","清須市","平成17年7月7日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","西春日井郡新川町","清須市","平成17年7月7日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","海部郡佐屋町","愛西市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","海部郡立田村","愛西市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","海部郡八開村","愛西市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","海部郡佐織町","愛西市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","中島郡祖父江町","稲沢市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","中島郡平和町","稲沢市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","西加茂郡藤岡町","豊田市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","西加茂郡小原村","豊田市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","東加茂郡足助町","豊田市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","東加茂郡下山村","豊田市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","東加茂郡旭町","豊田市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","東加茂郡稲武町","豊田市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","尾西市","一宮市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","葉栗郡木曽川町","一宮市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","渥美郡田原町","田原市","平成15年8月20日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","渥美郡赤羽根町","田原市","平成15年8月20日","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
"愛知県","北設楽郡稲武町","東加茂郡稲武町","平成15年10月1","https://www.post.japanpost.jp/zipcode/merge/aichi.html"
