都道府県,変更前,変更後,変更日
秋田県,山本郡八森町,山本郡八峰町,平成18年3月27日
秋田県,山本郡峰浜村,山本郡八峰町,平成18年3月27日
秋田県,山本郡二ツ井町,能代市,平成18年3月21日
秋田県,山本郡琴丘町,山本郡三種町,平成18年3月20日
秋田県,山本郡山本町,山本郡三種町,平成18年3月20日
秋田県,山本郡八竜町,山本郡三種町,平成18年3月20日
秋田県,由利郡仁賀保町,にかほ市,平成17年10月1日
秋田県,由利郡金浦町,にかほ市,平成17年10月1日
秋田県,由利郡象潟町,にかほ市,平成17年10月1日
秋田県,平鹿郡増田町,横手市,平成17年10月1日
秋田県,平鹿郡平鹿町,横手市,平成17年10月1日
秋田県,平鹿郡雄物川町,横手市,平成17年10月1日
秋田県,平鹿郡大森町,横手市,平成17年10月1日
秋田県,平鹿郡十文字町,横手市,平成17年10月1日
秋田県,平鹿郡山内村,横手市,平成17年10月1日
秋田県,平鹿郡大雄村,横手市,平成17年10月1日
秋田県,仙北郡角館町,仙北市,平成17年9月20日
秋田県,仙北郡田沢湖町,仙北市,平成17年9月20日
秋田県,仙北郡西木村,仙北市,平成17年9月20日
秋田県,北秋田郡比内町,大館市,平成17年6月20日
秋田県,北秋田郡田代町,大館市,平成17年6月20日
秋田県,北秋田郡鷹巣町,北秋田市,平成17年3月22日
秋田県,北秋田郡森吉町,北秋田市,平成17年3月22日
秋田県,北秋田郡阿仁町,北秋田市,平成17年3月22日
秋田県,北秋田郡合川町,北秋田市,平成17年3月22日
秋田県,大曲市,大仙市,平成17年3月22日
秋田県,仙北郡神岡町,大仙市,平成17年3月22日
秋田県,仙北郡西仙北町,大仙市,平成17年3月22日
秋田県,仙北郡中仙町,大仙市,平成17年3月22日
秋田県,仙北郡協和町,大仙市,平成17年3月22日
秋田県,仙北郡南外村,大仙市,平成17年3月22日
秋田県,仙北郡仙北町,大仙市,平成17年3月22日
秋田県,仙北郡太田町,大仙市,平成17年3月22日
秋田県,雄勝郡稲川町,湯沢市,平成17年3月22日
秋田県,雄勝郡雄勝町,湯沢市,平成17年3月22日
秋田県,雄勝郡皆瀬村,湯沢市,平成17年3月22日
秋田県,南秋田郡昭和町,潟上市,平成17年3月22日
秋田県,南秋田郡飯田川町,潟上市,平成17年3月22日
秋田県,南秋田郡天王町,潟上市,平成17年3月22日
秋田県,南秋田郡若美町,男鹿市,平成17年3月22日
秋田県,本荘市,由利本荘市,平成17年3月22日
秋田県,由利郡矢島町,由利本荘市,平成17年3月22日
秋田県,由利郡岩城町,由利本荘市,平成17年3月22日
秋田県,由利郡由利町,由利本荘市,平成17年3月22日
秋田県,由利郡西目町,由利本荘市,平成17年3月22日
秋田県,由利郡鳥海町,由利本荘市,平成17年3月22日
秋田県,由利郡東由利町,由利本荘市,平成17年3月22日
秋田県,由利郡大内町,由利本荘市,平成17年3月22日
秋田県,河辺郡河辺町,秋田市,平成17年1月11日
秋田県,河辺郡雄和町,秋田市,平成17年1月11日
秋田県,仙北郡六郷町,仙北郡美郷町,平成16年11月1日
秋田県,仙北郡千畑町,仙北郡美郷町,平成16年11月1日
秋田県,仙北郡仙南村,仙北郡美郷町,平成16年11月1日
