都道府県,変更前,変更後,変更日
青森県,上北郡百石町,上北郡おいらせ町,平成18年3月1日
青森県,上北郡下田町,上北郡おいらせ町,平成18年3月1日
青森県,中津軽郡岩木町,弘前市,平成18年2月27日
青森県,中津軽郡相馬村,弘前市,平成18年2月27日
青森県,三戸郡名川町,三戸郡南部町,平成18年1月1日
青森県,三戸郡福地村,三戸郡南部町,平成18年1月1日
青森県,南津軽郡尾上町,平川市,平成18年1月1日
青森県,南津軽郡平賀町,平川市,平成18年1月1日
青森県,南津軽郡碇ケ関村,平川市,平成18年1月1日
青森県,南津軽郡浪岡町,青森市,平成17年4月1日
青森県,西津軽郡岩崎村,西津軽郡深浦町,平成17年3月31日
青森県,上北郡上北町,上北郡東北町,平成17年3月31日
青森県,上北郡天間林村,上北郡七戸町,平成17年3月31日
青森県,三戸郡南郷村,八戸市,平成17年3月31日
青森県,南津軽郡常盤村,南津軽郡藤崎町,平成17年3月28日
青森県,北津軽郡中里町,北津軽郡中泊町,平成17年3月28日
青森県,北津軽郡小泊村,北津軽郡中泊町,平成17年3月28日
青森県,東津軽郡蟹田町,東津軽郡外ヶ浜町,平成17年3月28日
青森県,東津軽郡平舘村,東津軽郡外ヶ浜町,平成17年3月28日
青森県,東津軽郡三厩村,東津軽郡外ヶ浜町,平成17年3月28日
青森県,北津軽郡金木町,五所川原市,平成17年3月28日
青森県,北津軽郡市浦村,五所川原市,平成17年3月28日
青森県,下北郡川内町,むつ市,平成17年3月14日
青森県,下北郡大畑町,むつ市,平成17年3月14日
青森県,下北郡脇野沢村,むつ市,平成17年3月14日
青森県,西津軽郡木造町,つがる市,平成17年2月11日
青森県,西津軽郡森田村,つがる市,平成17年2月11日
青森県,西津軽郡柏村,つがる市,平成17年2月11日
青森県,西津軽郡稲垣村,つがる市,平成17年2月11日
青森県,西津軽郡車力村,つがる市,平成17年2月11日
青森県,上北郡十和田湖町,十和田市,平成17年1月1日
青森県,倉石村,三戸郡五戸町,平成16年7月1日
