"都道府県","変更前","変更後","変更日"
"千葉県","山武郡大網白里町","大網白里市","平成25年1月1日"
"千葉県","印旛郡印旛村","印西市","平成22年3月23日"
"千葉県","印旛郡本埜村","印西市","平成22年3月23日"
"千葉県","山武郡成東町","山武市","平成18年3月27日"
"千葉県","山武郡山武町","山武市","平成18年3月27日"
"千葉県","山武郡蓮沼村","山武市","平成18年3月27日"
"千葉県","山武郡松尾町","山武市","平成18年3月27日"
"千葉県","匝瑳郡光町","山武郡横芝光町","平成18年3月27日"
"千葉県","山武郡横芝町","山武郡横芝光町","平成18年3月27日"
"千葉県","香取郡下総町","成田市","平成18年3月27日"
"千葉県","香取郡大栄町","成田市","平成18年3月27日"
"千葉県","佐原市","香取市","平成18年3月27日"
"千葉県","香取郡小見川町","香取市","平成18年3月27日"
"千葉県","香取郡山田町","香取市","平成18年3月27日"
"千葉県","香取郡栗源町","香取市","平成18年3月27日"
"千葉県","安房郡富浦町","南房総市","平成18年3月20日"
"千葉県","安房郡富山町","南房総市","平成18年3月20日"
"千葉県","安房郡三芳村","南房総市","平成18年3月20日"
"千葉県","安房郡白浜町","南房総市","平成18年3月20日"
"千葉県","安房郡千倉町","南房総市","平成18年3月20日"
"千葉県","安房郡丸山町","南房総市","平成18年3月20日"
"千葉県","安房郡和田町","南房総市","平成18年3月20日"
"千葉県","八日市場市","匝瑳市","平成18年1月23日"
"千葉県","匝瑳郡野栄町","匝瑳市","平成18年1月23日"
"千葉県","夷隅郡夷隅町","いすみ市","平成17年12月5日"
"千葉県","夷隅郡大原町","いすみ市","平成17年12月5日"
"千葉県","夷隅郡岬町","いすみ市","平成17年12月5日"
"千葉県","香取郡干潟町","旭市","平成17年7月1日"
"千葉県","海上郡海上町","旭市","平成17年7月1日"
"千葉県","海上郡飯岡町","旭市","平成17年7月1日"
"千葉県","東葛飾郡沼南町","柏市","平成17年3月28日"
"千葉県","安房郡天津小湊町","鴨川市","平成17年2月11日"
"千葉県","東葛飾郡関宿町","野田市","平成15年6月6日"
