"都道府県","変更前","変更後","変更日","典拠"
"愛媛県","北宇和郡吉田町","宇和島市","平成17年8月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","北宇和郡三間町","宇和島市","平成17年8月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","北宇和郡津島町","宇和島市","平成17年8月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","西宇和郡瀬戸町","西宇和郡伊方町","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","西宇和郡三崎町","西宇和郡伊方町","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","伊予郡中山町","伊予市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","伊予郡双海町","伊予市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","西宇和郡保内町","八幡浜市","平成17年3月28日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","越智郡朝倉村","今治市","平成17年1月16日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","越智郡玉川町","今治市","平成17年1月16日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","越智郡波方町","今治市","平成17年1月16日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","越智郡大西町","今治市","平成17年1月16日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","越智郡菊間町","今治市","平成17年1月16日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","越智郡吉海町","今治市","平成17年1月16日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","越智郡宮窪町","今治市","平成17年1月16日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","越智郡伯方町","今治市","平成17年1月16日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","越智郡上浦町","今治市","平成17年1月16日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","越智郡大三島町","今治市","平成17年1月16日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","越智郡関前村","今治市","平成17年1月16日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","喜多郡長浜町","大洲市","平成17年1月11日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","喜多郡肱川町","大洲市","平成17年1月11日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","喜多郡河辺村","大洲市","平成17年1月11日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","伊予郡広田村","伊予郡砥部町","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","北宇和郡広見町","北宇和郡鬼北町","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","北宇和郡日吉村","北宇和郡鬼北町","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","上浮穴郡小田町","喜多郡内子町","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","喜多郡五十崎町","喜多郡内子町","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","北条市","松山市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","温泉郡中島町","松山市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","東予市","西条市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","周桑郡小松町","西条市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","周桑郡丹原町","西条市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","南宇和郡内海村","南宇和郡愛南町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","南宇和郡御荘町","南宇和郡愛南町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","南宇和郡城辺町","南宇和郡愛南町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","南宇和郡一本松町","南宇和郡愛南町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","南宇和郡西海町","南宇和郡愛南町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","越智郡魚島村","越智郡上島町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","越智郡弓削町","越智郡上島町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","越智郡生名村","越智郡上島町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","越智郡岩城村","越智郡上島町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","温泉郡重信町","東温市","平成16年9月21日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","温泉郡川内町","東温市","平成16年9月21日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","上浮穴郡久万町","上浮穴郡久万高原町","平成16年8月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","上浮穴郡面河村","上浮穴郡久万高原町","平成16年8月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","上浮穴郡美川村","上浮穴郡久万高原町","平成16年8月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","上浮穴郡柳谷村","上浮穴郡久万高原町","平成16年8月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","東宇和郡明浜町","西予市","平成16年4月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","東宇和郡宇和町","西予市","平成16年4月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","東宇和郡野村町","西予市","平成16年4月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","東宇和郡城川町","西予市","平成16年4月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","西宇和郡三瓶町","西予市","平成16年4月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","川之江市","四国中央市","平成16年4月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","伊予三島市","四国中央市","平成16年4月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","宇摩郡新宮村","四国中央市","平成16年4月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","宇摩郡土居町","四国中央市","平成16年4月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
"愛媛県","宇摩郡別子山村","新居浜市","平成15年4月1日","https://www.post.japanpost.jp/zipcode/merge/ehime.html"
