"都道府県","変更前","変更後","変更日","典拠"
"福岡県","筑紫郡那珂川町","那珂川市","平成30年10月1日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","八女郡黒木町","八女市","平成22年2月1日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","八女郡立花町","八女市","平成22年2月1日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","八女郡矢部村","八女市","平成22年2月1日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","八女郡星野村","八女市","平成22年2月1日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","前原市","糸島市","平成22年1月1日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","糸島郡二丈町","糸島市","平成22年1月1日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","糸島郡志摩町","糸島市","平成22年1月1日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","山門郡瀬高町","みやま市","平成19年1月29日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","山門郡山川町","みやま市","平成19年1月29日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","三池郡高田町","みやま市","平成19年1月29日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","八女郡上陽町","八女市","平成18年10月1日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","山田市","嘉麻市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","嘉穂郡稲築町","嘉麻市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","嘉穂郡碓井町","嘉麻市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","嘉穂郡嘉穂町","嘉麻市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","嘉穂郡筑穂町","飯塚市","平成18年3月26日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","嘉穂郡穂波町","飯塚市","平成18年3月26日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","嘉穂郡庄内町","飯塚市","平成18年3月26日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","嘉穂郡頴田町","飯塚市","平成18年3月26日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","京都郡犀川町","京都郡みやこ町","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","京都郡勝山町","京都郡みやこ町","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","京都郡豊津町","京都郡みやこ町","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","甘木市","朝倉市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","朝倉郡杷木町","朝倉市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","朝倉郡朝倉町","朝倉市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","田川郡金田町","田川郡福智町","平成18年3月6日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","田川郡赤池町","田川郡福智町","平成18年3月6日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","田川郡方城町","田川郡福智町","平成18年3月6日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","鞍手郡宮田町","宮若市","平成18年2月11日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","鞍手郡若宮町","宮若市","平成18年2月11日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
"福岡県","築上郡椎田町","築上郡築上町","平成18年1月10日","https://www.post.japanpost.jp/zipcode/merge/fukuoka.html"
