"都道府県","変更前","変更後","変更日","典拠"
"岐阜県","養老郡上石津町","大垣市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","安八郡墨俣町","大垣市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","土岐郡笠原町","多治見市","平成18年1月23日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","羽島郡柳津町","岐阜市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","可児郡兼山町","可児市","平成17年5月1日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","海津郡海津町","海津市","平成17年3月28日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","海津郡平田町","海津市","平成17年3月28日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","海津郡南濃町","海津市","平成17年3月28日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","恵那郡坂下町","中津川市","平成17年2月13日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","恵那郡川上村","中津川市","平成17年2月13日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","恵那郡加子母村","中津川市","平成17年2月13日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","恵那郡付知町","中津川市","平成17年2月13日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","恵那郡福岡町","中津川市","平成17年2月13日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","恵那郡蛭川村","中津川市","平成17年2月13日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","武儀郡洞戸村","関市","平成17年2月7日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","武儀郡板取村","関市","平成17年2月7日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","武儀郡武芸川町","関市","平成17年2月7日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","武儀郡武儀町","関市","平成17年2月7日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","武儀郡上之保村","関市","平成17年2月7日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","大野郡丹生川村","高山市","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","大野郡清見村","高山市","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","大野郡荘川村","高山市","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","大野郡宮村","高山市","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","大野郡久々野町","高山市","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","大野郡朝日村","高山市","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","大野郡高根村","高山市","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","吉城郡国府町","高山市","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","吉城郡上宝村","高山市","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","揖斐郡揖斐川町","揖斐郡揖斐川町","平成17年1月31日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","揖斐郡谷汲村","揖斐郡揖斐川町","平成17年1月31日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","揖斐郡春日村","揖斐郡揖斐川町","平成17年1月31日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","揖斐郡久瀬村","揖斐郡揖斐川町","平成17年1月31日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","揖斐郡藤橋村","揖斐郡揖斐川町","平成17年1月31日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
"岐阜県","揖斐郡坂内村","揖斐郡揖斐川町","平成17年1月31日","https://www.post.japanpost.jp/zipcode/merge/gifu.html"
