"都道府県","変更前","変更後","変更日","典拠"
"広島県","深安郡神辺町","福山市","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","因島市","尾道市","平成18年1月10日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","豊田郡瀬戸田町","尾道市","平成18年1月10日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","佐伯郡宮島町","廿日市市","平成17年11月3日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","佐伯郡大野町","廿日市市","平成17年11月3日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","佐伯郡湯来町","広島市佐伯区","平成17年4月25日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","甲奴郡総領町","庄原市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","比婆郡西城町","庄原市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","比婆郡東城町","庄原市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","比婆郡口和町","庄原市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","比婆郡高野町","庄原市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","比婆郡比和町","庄原市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","御調郡御調町","尾道市","平成17年3月28日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","御調郡向島町","尾道市","平成17年3月28日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","賀茂郡大和町","三原市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","豊田郡本郷町","三原市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","御調郡久井町","三原市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","安芸郡音戸町","呉市","平成17年3月20日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","安芸郡倉橋町","呉市","平成17年3月20日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","安芸郡蒲刈町","呉市","平成17年3月20日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","豊田郡安浦町","呉市","平成17年3月20日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","豊田郡豊浜町","呉市","平成17年3月20日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","豊田郡豊町","呉市","平成17年3月20日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","沼隈郡沼隈町","福山市","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","賀茂郡黒瀬町","東広島市","平成17年2月7日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","賀茂郡福富町","東広島市","平成17年2月7日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","賀茂郡豊栄町","東広島市","平成17年2月7日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","賀茂郡河内町","東広島市","平成17年2月7日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","豊田郡安芸津町","東広島市","平成17年2月7日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","山県郡芸北町","山県郡北広島町","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","山県郡大朝町","山県郡北広島町","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","山県郡千代田町","山県郡北広島町","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","山県郡豊平町","山県郡北広島町","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","神石郡油木町","神石郡神石高原町","平成16年11月5日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","神石郡神石町","神石郡神石高原町","平成16年11月5日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","神石郡豊松村","神石郡神石高原町","平成16年11月5日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","神石郡三和町","神石郡神石高原町","平成16年11月5日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","安芸郡江田島町","江田島市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","佐伯郡能美町","江田島市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","佐伯郡沖美町","江田島市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
"広島県","佐伯郡大柿町","江田島市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/hiroshima.html"
