"都道府県","変更前","変更後","変更日","典拠"
"北海道","紋別郡上紋別町","紋別郡湧別町","平成21年10月5日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","静内郡静内町","日高郡新ひだか町","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","三石郡三石町","日高郡新ひだか町","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","網走郡東藻琴村","網走郡大空町","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","網走郡女満別町","網走郡大空町","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","勇払郡鵡川町","勇払郡むかわ町","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","勇払郡穂別町","勇払郡むかわ町","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","勇払郡早来町","勇払郡安平町","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","勇払郡追分町","勇払郡安平町","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","虻田郡虻田町","虻田郡洞爺湖町","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","虻田郡洞爺村","虻田郡洞爺湖町","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","上川郡風連町","名寄市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","空知郡北村","岩見沢市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","空知郡栗沢町","岩見沢市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","枝幸郡歌登町","枝幸郡枝幸町","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","常呂郡端野町","北見市","平成18年3月5日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","常呂郡留辺蘂町","北見市","平成18年3月5日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","常呂郡常呂町","北見市","平成18年3月5日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","沙流郡門別町","沙流郡日高町","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","有珠郡大滝村","伊達市","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","広尾郡忠類村","中川郡幕別町","平成18年2月6日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","上磯郡上磯町","北斗市","平成18年2月1日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","亀田郡大野町","北斗市","平成18年2月1日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","阿寒郡阿寒町","釧路市","平成17年10月11日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","白糠郡音別町","釧路市","平成17年10月11日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","紋別郡生田原町","紋別郡遠軽町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","紋別郡丸瀬布町","紋別郡遠軽町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","紋別郡白滝村","紋別郡遠軽町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","山越郡八雲町","二海郡八雲町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","爾志郡熊石町","二海郡八雲町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","厚田郡厚田村","石狩市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","浜益郡浜益村","石狩市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","久遠郡大成町","久遠郡せたな町","平成17年9月1日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","瀬棚郡瀬棚町","久遠郡せたな町","平成17年9月1日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","瀬棚郡北檜山町","久遠郡せたな町","平成17年9月1日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","上川郡朝日町","士別市","平成17年9月1日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","茅部郡砂原町","茅部郡森町","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","亀田郡戸井町","函館市","平成16年12月1日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","亀田郡恵山町","函館市","平成16年12月1日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","亀田郡椴法華村","函館市","平成16年12月1日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
"北海道","茅部郡南茅部町","函館市","平成16年12月1日","https://www.post.japanpost.jp/zipcode/merge/hokkaido.html"
