"都道府県","変更前","変更後","変更日"
"福井県","坂井郡三国町","坂井市","平成18年3月20日"
"福井県","坂井郡丸岡町","坂井市","平成18年3月20日"
"福井県","坂井郡春江町","坂井市","平成18年3月20日"
"福井県","坂井郡坂井町","坂井市","平成18年3月20日"
"福井県","遠敷郡名田庄村","大飯郡おおい町","平成18年3月3日"
"福井県","大飯郡大飯町","大飯郡おおい町","平成18年3月3日"
"福井県","吉田郡松岡町","吉田郡永平寺町","平成18年2月13日"
"福井県","吉田郡上志比村","吉田郡永平寺町","平成18年2月13日"
"福井県","足羽郡美山町","福井市","平成18年2月1日"
"福井県","丹生郡越廼村","福井市","平成18年2月1日"
"福井県","丹生郡清水町","福井市","平成18年2月1日"
"福井県","大野郡和泉村","大野市","平成17年11月7日"
"福井県","武生市","越前市","平成17年10月1日"
"福井県","今立郡今立町","越前市","平成17年10月1日"
"福井県","三方郡三方町","三方上中郡若狭町","平成17年3月31日"
"福井県","遠敷郡上中町","三方上中郡若狭町","平成17年3月31日"
"福井県","丹生郡朝日町","丹生郡越前町","平成17年2月1日"
"福井県","丹生郡宮崎村","丹生郡越前町","平成17年2月1日"
"福井県","丹生郡織田町","丹生郡越前町","平成17年2月1日"
"福井県","南条郡南条町","南条郡南越前町","平成17年1月1日"
"福井県","南条郡今庄町","南条郡南越前町","平成17年1月1日"
"福井県","南条郡河野村","南条郡南越前町","平成17年1月1日"
"福井県","坂井郡芦原町","あわら市","平成16年3月1日"
"福井県","坂井郡金津町","あわら市","平成16年3月1日"
