都道府県,変更前,変更後,変更日,"典拠"
福島県,伊達郡飯野町,福島市,平成20年7月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,安達郡本宮町,本宮市,平成19年1月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,安達郡白沢村,本宮市,平成19年1月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,南会津郡田島町,南会津郡南会津町,平成18年3月20日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,南会津郡舘岩村,南会津郡南会津町,平成18年3月20日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,南会津郡伊南村,南会津郡南会津町,平成18年3月20日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,南会津郡南郷村,南会津郡南会津町,平成18年3月20日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,耶麻郡熱塩加納村,喜多方市,平成18年1月4日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,耶麻郡塩川町,喜多方市,平成18年1月4日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,耶麻郡山都町,喜多方市,平成18年1月4日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,耶麻郡高郷村,喜多方市,平成18年1月4日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,伊達郡伊達町,伊達市,平成18年1月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,伊達郡梁川町,伊達市,平成18年1月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,伊達郡保原町,伊達市,平成18年1月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,伊達郡霊山町,伊達市,平成18年1月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,伊達郡月舘町,伊達市,平成18年1月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,原町市,南相馬市,平成18年1月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,相馬郡鹿島町,南相馬市,平成18年1月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,相馬郡小高町,南相馬市,平成18年1月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,二本松市,二本松市,平成17年12月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,安達郡安達町,二本松市,平成17年12月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,安達郡岩代町,二本松市,平成17年12月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,安達郡東和町,二本松市,平成17年12月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,西白河郡表郷村,白河市,平成17年11月7日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,西白河郡東村,白河市,平成17年11月7日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,西白河郡大信村,白河市,平成17年11月7日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,河沼郡河東町,会津若松市,平成17年11月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,大沼郡会津高田町,大沼郡会津美里町,平成17年10月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,大沼郡会津本郷町,大沼郡会津美里町,平成17年10月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,大沼郡新鶴村,大沼郡会津美里町,平成17年10月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,岩瀬郡長沼町,須賀川市,平成17年4月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,岩瀬郡岩瀬村,須賀川市,平成17年4月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,田村郡滝根町,田村市,平成17年3月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,田村郡大越町,田村市,平成17年3月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,田村郡都路村,田村市,平成17年3月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,田村郡常葉町,田村市,平成17年3月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,田村郡船引町,田村市,平成17年3月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
福島県,北会津郡北会津村,会津若松市,平成16年11月1日,"https://www.post.japanpost.jp/zipcode/merge/fukushima.html"
