"都道府県","変更前","変更後","変更日","典拠"
"兵庫県","篠山市","丹波篠山市","2019年5月1日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","神崎郡香寺町","姫路市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","宍粟郡安富町","姫路市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","飾磨郡家島町","姫路市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","飾磨郡夢前町","姫路市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","加東郡社町","加東市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","加東郡滝野町","加東市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","加東郡東条町","加東市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","津名郡五色町","洲本市","平成18年2月11日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","神崎郡神崎町","神崎郡神河町","平成17年11月7日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","神崎郡大河内町","神崎郡神河町","平成17年11月7日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","多可郡中町","多可郡多可町","平成17年11月1日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","多可郡加美町","多可郡多可町","平成17年11月1日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","多可郡八千代町","多可郡多可町","平成17年11月1日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","美嚢郡吉川町","三木市","平成17年10月24日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","美方郡浜坂町","美方郡新温泉町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","美方郡温泉町","美方郡新温泉町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","佐用郡上月町","佐用郡佐用町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","佐用郡南光町","佐用郡佐用町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","佐用郡三日月町","佐用郡佐用町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","多可郡黒田庄町","西脇市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","龍野市","たつの市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","揖保郡新宮町","たつの市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","揖保郡揖保川町","たつの市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","揖保郡御津町","たつの市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","津名郡津名町","淡路市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","津名郡淡路町","淡路市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","津名郡北淡町","淡路市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
"兵庫県","津名郡一宮町","淡路市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/hyogo.html"
