都道府県,変更前,変更後,変更日,"典拠"
茨城県,筑波郡伊奈町,つくばみらい市,平成18年3月27日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,筑波郡谷和原村,つくばみらい市,平成18年3月27日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,東茨城郡小川町,小美玉市,平成18年3月27日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,東茨城郡美野里町,小美玉市,平成18年3月27日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,新治郡玉里村,小美玉市,平成18年3月27日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,西茨城郡友部町,笠間市,平成18年3月19日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,西茨城郡岩間町,笠間市,平成18年3月19日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,新治郡新治村,土浦市,平成18年2月20日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,水海道市,常総市,平成18年1月1日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,結城郡石下町,常総市,平成18年1月1日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,結城郡千代川村,下妻市,平成18年1月1日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,鹿島郡旭村,鉾田市,平成17年10月11日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,鹿島郡鉾田町,鉾田市,平成17年10月11日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,鹿島郡大洋村,鉾田市,平成17年10月11日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,西茨城郡岩瀬町,桜川市,平成17年10月1日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,真壁郡真壁町,桜川市,平成17年10月1日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,真壁郡大和村,桜川市,平成17年10月1日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,新治郡八郷町,石岡市,平成17年10月1日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,猿島郡総和町,古河市,平成17年9月12日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,猿島郡三和町,古河市,平成17年9月12日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,行方郡麻生町,行方市,平成17年9月2日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,行方郡北浦町,行方市,平成17年9月2日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,行方郡玉造町,行方市,平成17年9月2日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,鹿島郡波崎町,神栖市,平成17年8月1日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,鹿島郡神栖町,神栖市,平成17年8月1日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,新治郡霞ヶ浦町,かすみがうら市,平成17年3月28日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,新治郡千代田町,かすみがうら市,平成17年3月28日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,稲敷郡江戸崎町,稲敷市,平成17年3月22日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,稲敷郡新利根町,稲敷市,平成17年3月22日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,稲敷郡桜川村,稲敷市,平成17年3月22日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,稲敷郡東町,稲敷市,平成17年3月22日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,岩井市,坂東市,平成17年3月22日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,猿島郡猿島町,坂東市,平成17年3月22日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,北相馬郡藤代町,取手市,平成17年3月28日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,下館市,筑西市,平成17年3月28日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,真壁郡関城町,筑西市,平成17年3月28日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,真壁郡明野町,筑西市,平成17年3月28日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,真壁郡協和町,筑西市,平成17年3月28日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,東茨城郡常北町,東茨城郡城里町,平成17年2月1日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,東茨城郡桂村,東茨城郡城里町,平成17年2月1日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,西茨城郡七会村,東茨城郡城里町,平成17年2月1日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,東茨城郡内原町,水戸市,平成17年2月1日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,那珂郡那珂町,那珂市,平成17年1月21日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,那珂郡瓜連町,那珂市,平成17年1月21日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,久慈郡金砂郷町,常陸太田市,平成16年12月1日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,久慈郡水府村,常陸太田市,平成16年12月1日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,久慈郡里美村,常陸太田市,平成16年12月1日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,多賀郡十王町,日立市,平成16年11月1日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
茨城県,東茨城郡御前山村,常陸大宮市,平成16年10月16日,"https://www.post.japanpost.jp/zipcode/merge/ibaraki.html"
