"都道府県","変更前","変更後","変更日","典拠"
"石川県","石川郡野々市町","野々市市","平成23年11月11日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","鳳珠郡門前町","輪島市","平成18年2月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","江沼郡山中町","加賀市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","羽咋郡富来町","羽咋郡志賀町","平成17年9月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","鳳至郡門前町","鳳珠郡門前町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","鳳至郡穴水町","鳳珠郡穴水町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","鳳至郡能都町","鳳珠郡能登町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","鳳至郡柳田村","鳳珠郡能登町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","珠洲郡内浦町","鳳珠郡能登町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","鹿島郡鳥屋町","鹿島郡中能登町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","鹿島郡鹿島町","鹿島郡中能登町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","鹿島郡鹿西町","鹿島郡中能登町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","羽咋郡志雄町","羽咋郡宝達志水町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","羽咋郡押水町","羽咋郡宝達志水町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","能美郡根上町","能美市","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","能美郡寺井町","能美市","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","能美郡辰口町","能美市","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","松任市","白山市","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","石川郡美川町","白山市","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","石川郡鶴来町","白山市","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","石川郡河内村","白山市","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","石川郡吉野谷村","白山市","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","石川郡鳥越村","白山市","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","石川郡尾口村","白山市","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","石川郡白峰村","白山市","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","鹿島郡田鶴浜町","七尾市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","鹿島郡中島町","七尾市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","鹿島郡能登島町","七尾市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","河北郡高松町","かほく市","平成16年3月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","河北郡七塚町","かほく市","平成16年3月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
"石川県","河北郡宇ノ気町","かほく市","平成16年3月1日","https://www.post.japanpost.jp/zipcode/merge/ishikawa.html"
