都道府県,変更前,変更後,変更日,"典拠"
岩手県,岩手郡滝沢村,滝沢市,平成26年1月1日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,東磐井郡藤沢町,一関市,平成23年9月26日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,下閉伊郡川井村,宮古市,平成22年1月1日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,九戸郡山形村,久慈市,平成18年3月6日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,水沢市,奥州市,平成18年2月20日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,江刺市,奥州市,平成18年2月20日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,胆沢郡前沢町,奥州市,平成18年2月20日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,胆沢郡胆沢町,奥州市,平成18年2月20日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,胆沢郡衣川村,奥州市,平成18年2月20日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,岩手郡玉山村,盛岡市,平成18年1月10日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,九戸郡種市町,九戸郡洋野町,平成18年1月1日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,九戸郡大野村,九戸郡洋野町,平成18年1月1日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,二戸郡浄法寺町,二戸市,平成18年1月1日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,稗貫郡大迫町,花巻市,平成18年1月1日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,稗貫郡石鳥谷町,花巻市,平成18年1月1日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,和賀郡東和町,花巻市,平成18年1月1日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,和賀郡湯田町,和賀郡西和賀町,平成17年11月1日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,和賀郡沢内村,和賀郡西和賀町,平成17年11月1日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,上閉伊郡宮守村,遠野市,平成17年10月1日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,西磐井郡花泉町,一関市,平成17年9月20日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,東磐井郡大東町,一関市,平成17年9月20日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,東磐井郡千厩町,一関市,平成17年9月20日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,東磐井郡東山町,一関市,平成17年9月20日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,東磐井郡室根村,一関市,平成17年9月20日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,東磐井郡川崎村,一関市,平成17年9月20日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,岩手郡西根町,八幡平市,平成17年9月1日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,岩手郡松尾村,八幡平市,平成17年9月1日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,岩手郡安代町,八幡平市,平成17年9月1日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,下閉伊郡田老町,宮古市,平成17年6月6日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
岩手県,下閉伊郡新里村,宮古市,平成17年6月6日,"https://www.post.japanpost.jp/zipcode/merge/iwate.html"
