"都道府県","変更前","変更後","変更日","典拠"
"香川県","綾歌郡綾上町","綾歌郡綾川町","平成18年3月21日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","綾歌郡綾南町","綾歌郡綾川町","平成18年3月21日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","小豆郡内海町","小豆郡小豆島町","平成18年3月21日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","小豆郡池田町","小豆郡小豆島町","平成18年3月21日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","仲多度郡琴南町","仲多度郡まんのう町","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","仲多度郡満濃町","仲多度郡まんのう町","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","仲多度郡仲南町","仲多度郡まんのう町","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","木田郡庵治町","高松市","平成18年1月10日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","木田郡牟礼町","高松市","平成18年1月10日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","香川郡香川町","高松市","平成18年1月10日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","香川郡香南町","高松市","平成18年1月10日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","綾歌郡国分寺町","高松市","平成18年1月10日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","三豊郡高瀬町","三豊市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","三豊郡山本町","三豊市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","三豊郡三野町","三豊市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","三豊郡豊中町","三豊市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","三豊郡詫間町","三豊市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","三豊郡仁尾町","三豊市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","三豊郡財田町","三豊市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","三豊郡大野原町","観音寺市","平成17年10月11日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","三豊郡豊浜町","観音寺市","平成17年10月11日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","香川郡塩江町","高松市","平成17年9月26日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","綾歌郡綾歌町","丸亀市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","綾歌郡飯山町","丸亀市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","大川郡大内町","東かがわ市","平成15年4月1日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","大川郡白鳥町","東かがわ市","平成15年4月1日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
"香川県","大川郡引田町","東かがわ市","平成15年4月1日","https://www.post.japanpost.jp/zipcode/merge/kagawa.html"
