"都道府県","変更前","変更後","変更日","典拠"
"鹿児島県","姶良郡加治木町","姶良市","平成22年3月23日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","姶良郡姶良町","姶良市","平成22年3月23日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","姶良郡蒲生町","姶良市","平成22年3月23日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","大口市","伊佐市","平成20年11月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","伊佐郡菱刈町","伊佐市","平成20年11月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","揖宿郡頴娃町","南九州市","平成19年12月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","川辺郡知覧町","南九州市","平成19年12月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","川辺郡川辺町","南九州市","平成19年12月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","熊毛郡上屋久町","熊毛郡屋久島町","平成19年10月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","熊毛郡屋久町","熊毛郡屋久島町","平成19年10月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","出水郡東町","出水郡長島町","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","名瀬市","奄美市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","大島郡住用村","奄美市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","大島郡笠利町","奄美市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","出水郡野田町","出水市","平成18年3月13日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","出水郡高尾野町","出水市","平成18年3月13日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","曽於郡松山町","志布志市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","曽於郡志布志町","志布志市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","曽於郡有明町","志布志市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","揖宿郡山川町","指宿市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","揖宿郡開聞町","指宿市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","曽於郡輝北町","鹿屋市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","肝属郡串良町","鹿屋市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","肝属郡吾平町","鹿屋市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","国分市","霧島市","平成17年11月7日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","姶良郡溝辺町","霧島市","平成17年11月7日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","姶良郡横川町","霧島市","平成17年11月7日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","姶良郡牧園町","霧島市","平成17年11月7日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","姶良郡霧島町","霧島市","平成17年11月7日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","姶良郡隼人町","霧島市","平成17年11月7日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","姶良郡福山町","霧島市","平成17年11月7日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","加世田市","南さつま市","平成17年11月7日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","川辺郡笠沙町","南さつま市","平成17年11月7日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","川辺郡大浦町","南さつま市","平成17年11月7日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","川辺郡坊津町","南さつま市","平成17年11月7日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","日置郡金峰町","南さつま市","平成17年11月7日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","串木野市","いちき串木野市","平成17年10月11日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","日置郡市来町","いちき串木野市","平成17年10月11日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","肝属郡内之浦町","肝属郡肝付町","平成17年7月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","肝属郡高山町","肝属郡肝付町","平成17年7月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","曽於郡大隅町","曽於市","平成17年7月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","曽於郡財部町","曽於市","平成17年7月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","曽於郡末吉町","曽於市","平成17年7月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","日置郡東市来町","日置市","平成17年5月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","日置郡伊集院町","日置市","平成17年5月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","日置郡日吉町","日置市","平成17年5月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","日置郡吹上町","日置市","平成17年5月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","肝属郡根占町","肝属郡南大隅町","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","肝属郡佐多町","肝属郡南大隅町","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","肝属郡大根占町","肝属郡錦江町","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","肝属郡田代町","肝属郡錦江町","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","姶良郡栗野町","姶良郡湧水町","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","姶良郡吉松町","姶良郡湧水町","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","薩摩郡宮之城町","薩摩郡さつま町","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","薩摩郡鶴田町","薩摩郡さつま町","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","薩摩郡薩摩町","薩摩郡さつま町","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","鹿児島郡吉田町","鹿児島市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","鹿児島郡桜島町","鹿児島市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","揖宿郡喜入町","鹿児島市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","日置郡松元町","鹿児島市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","日置郡郡山町","鹿児島市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","川内市","薩摩川内市","平成16年10月12日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","薩摩郡樋脇町","薩摩川内市","平成16年10月12日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","薩摩郡入来町","薩摩川内市","平成16年10月12日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","薩摩郡東郷町","薩摩川内市","平成16年10月12日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","薩摩郡祁答院町","薩摩川内市","平成16年10月12日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","薩摩郡里村","薩摩川内市","平成16年10月12日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","薩摩郡上甑村","薩摩川内市","平成16年10月12日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","薩摩郡下甑村","薩摩川内市","平成16年10月12日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
"鹿児島県","薩摩郡鹿島村","薩摩川内市","平成16年10月12日","https://www.post.japanpost.jp/zipcode/merge/kagoshima.html"
