"都道府県","変更前","変更後","変更日","典拠"
"高知県","吾川郡春野町","高知市","平成20年1月1日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","幡多郡佐賀町","幡多郡黒潮町","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","幡多郡大方町","幡多郡黒潮町","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","高岡郡窪川町","高岡郡四万十町","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","幡多郡大正町","高岡郡四万十町","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","幡多郡十和村","高岡郡四万十町","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","香美郡土佐山田町","香美市","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","香美郡香北町","香美市","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","香美郡物部村","香美市","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","香美郡赤岡町","香南市","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","香美郡香我美町","香南市","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","香美郡野市町","香南市","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","香美郡夜須町","香南市","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","香美郡吉川村","香南市","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","高岡郡大野見村","高岡郡中土佐町","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","吾川郡池川町","吾川郡仁淀川町","平成17年8月1日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","吾川郡吾川村","吾川郡仁淀川町","平成17年8月1日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","高岡郡仁淀村","吾川郡仁淀川町","平成17年8月1日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","中村市","四万十市","平成17年4月10日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","幡多郡西土佐村","四万十市","平成17年4月10日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","高岡郡東津野村","高岡郡津野町","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","高岡郡葉山村","高岡郡津野町","平成17年2月1日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","土佐郡鏡村","高知市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","土佐郡土佐山村","高知市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","土佐郡本川村","吾川郡いの町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","吾川郡伊野町","吾川郡いの町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
"高知県","吾川郡吾北村","吾川郡いの町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/kochi.html"
