"都道府県","変更前","変更後","変更日","典拠"
"熊本県","下益城郡城南町","熊本市","平成22年3月23日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","鹿本郡植木町","熊本市","平成22年3月23日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","下益城郡富合町","熊本市","平成20年10月6日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","本渡市","天草市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","牛深市","天草市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","天草郡有明町","天草市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","天草郡御所浦町","天草市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","天草郡倉岳町","天草市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","天草郡栖本町","天草市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","天草郡新和町","天草市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","天草郡五和町","天草市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","天草郡天草町","天草市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","天草郡河浦町","天草市","平成18年3月27日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","玉名郡菊水町","玉名郡和水町","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","玉名郡三加和町","玉名郡和水町","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","菊池郡合志町","合志市","平成18年2月27日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","菊池郡西合志町","合志市","平成18年2月27日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","玉名郡岱明町","玉名市","平成17年10月3日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","玉名郡横島町","玉名市","平成17年10月3日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","玉名郡天水町","玉名市","平成17年10月3日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","八代郡竜北町","八代郡氷川町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","八代郡宮原町","八代郡氷川町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","八代郡坂本村","八代市","平成17年8月1日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","八代郡千丁町","八代市","平成17年8月1日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","八代郡鏡町","八代市","平成17年8月1日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","八代郡東陽村","八代市","平成17年8月1日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","八代郡泉村","八代市","平成17年8月1日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","菊池郡七城町","菊池市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","菊池郡旭志村","菊池市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","泗水町","菊池市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","阿蘇郡白水村","阿蘇郡南阿蘇村","平成17年2月13日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","阿蘇郡久木野村","阿蘇郡南阿蘇村","平成17年2月13日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","阿蘇郡長陽村","阿蘇郡南阿蘇村","平成17年2月13日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
"熊本県","阿蘇郡一の宮町","阿蘇市","平成17年2月11日","https://www.post.japanpost.jp/zipcode/merge/kumamoto.html"
