"都道府県","変更前","変更後","変更日","典拠"
"京都府","相楽郡加茂町","木津川市","平成19年3月12日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","相楽郡木津町","木津川市","平成19年3月12日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","相楽郡山城町","木津川市","平成19年3月12日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","与謝郡加悦町","与謝郡与謝野町","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","与謝郡岩滝町","与謝郡与謝野町","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","与謝郡野田川町","与謝郡与謝野町","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","北桑田郡美山町","南丹市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","船井郡園部町","南丹市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","船井郡八木町","南丹市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","船井郡日吉町","南丹市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","天田郡三和町","福知山市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","天田郡夜久野町","福知山市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","加佐郡大江町","福知山市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","船井郡丹波町","船井郡京丹波町","平成17年10月11日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","船井郡瑞穂町","船井郡京丹波町","平成17年10月11日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","船井郡和知町","船井郡京丹波町","平成17年10月11日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","北桑田郡京北町","京都市右京区","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","中郡峰山町","京丹後市","平成16年4月1日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","中郡大宮町","京丹後市","平成16年4月1日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","竹野郡網野町","京丹後市","平成16年4月1日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","竹野郡丹後町","京丹後市","平成16年4月1日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","竹野郡弥栄町","京丹後市","平成16年4月1日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
"京都府","熊野郡久美浜町","京丹後市","平成16年4月1日","https://www.post.japanpost.jp/zipcode/merge/kyoto.html"
