"都道府県","変更前","変更後","変更日","典拠"
"三重県","南牟婁郡鵜殿村","南牟婁郡紀宝町","平成18年1月10日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","多気郡宮川村","多気郡大台町","平成18年1月10日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","多気郡勢和村","多気郡多気町","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","久居市","津市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","安芸郡河芸町","津市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","安芸郡芸濃町","津市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","安芸郡美里村","津市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","安芸郡安濃町","津市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","一志郡香良洲町","津市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","一志郡一志町","津市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","一志郡白山町","津市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","一志郡美杉村","津市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","南牟婁郡紀和町","熊野市","平成17年11月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","度会郡二見町","伊勢市","平成17年11月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","度会郡小俣町","伊勢市","平成17年11月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","度会郡御薗村","伊勢市","平成17年11月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","北牟婁郡紀伊長島町","北牟婁郡紀北町","平成17年10月11日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","北牟婁郡海山町","北牟婁郡紀北町","平成17年10月11日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","度会郡南勢町","度会郡南伊勢町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","度会郡南島町","度会郡南伊勢町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","度会郡大宮町","度会郡大紀町","平成17年2月14日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","度会郡紀勢町","度会郡大紀町","平成17年2月14日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","度会郡大内山村","度会郡大紀町","平成17年2月14日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","三重郡楠町","四日市市","平成17年2月7日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","鈴鹿郡関町","亀山市","平成17年1月11日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","一志郡嬉野町","松阪市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","一志郡三雲町","松阪市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","飯南郡飯南町","松阪市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","飯南郡飯高町","松阪市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","桑名郡多度町","桑名市","平成16年12月6日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","桑名郡長島町","桑名市","平成16年12月6日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","上野市","伊賀市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","阿山郡伊賀町","伊賀市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","阿山郡島ヶ原村","伊賀市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","阿山郡阿山町","伊賀市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","阿山郡大山田村","伊賀市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","名賀郡青山町","伊賀市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","志摩郡浜島町","志摩市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","志摩郡大王町","志摩市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","志摩郡志摩町","志摩市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","志摩郡阿児町","志摩市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","志摩郡磯部町","志摩市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","員弁郡員弁町","いなべ市","平成15年12月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","員弁郡大安町","いなべ市","平成15年12月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","員弁郡藤原町","いなべ市","平成15年12月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
"三重県","員弁郡北勢町","いなべ市","平成15年12月1日","https://www.post.japanpost.jp/zipcode/merge/mie.html"
