都道府県,変更前,変更後,変更日
宮城県,黒川郡富谷町,富谷市,平成28年10月10日
宮城県,本吉郡本吉町,気仙沼市,平成21年9月1日
宮城県,本吉郡唐桑町,気仙沼市,平成18年3月31日
宮城県,古川市,大崎市,平成18年3月31日
宮城県,志田郡松山町,大崎市,平成18年3月31日
宮城県,志田郡三本木町,大崎市,平成18年3月31日
宮城県,志田郡鹿島台町,大崎市,平成18年3月31日
宮城県,玉造郡岩出山町,大崎市,平成18年3月31日
宮城県,玉造郡鳴子町,大崎市,平成18年3月31日
宮城県,遠田郡田尻町,大崎市,平成18年3月31日
宮城県,遠田郡小牛田町,遠田郡美里町,平成18年1月1日
宮城県,遠田郡南郷町,遠田郡美里町,平成18年1月1日
宮城県,本吉郡志津川町,本吉郡南三陸町,平成17年10月1日
宮城県,本吉郡歌津町,本吉郡南三陸町,平成17年10月1日
宮城県,桃生郡矢本町,東松島市,平成17年4月1日
宮城県,桃生郡鳴瀬町,東松島市,平成17年4月1日
宮城県,登米郡迫町,登米市,平成17年4月1日
宮城県,登米郡登米町,登米市,平成17年4月1日
宮城県,登米郡東和町,登米市,平成17年4月1日
宮城県,登米郡中田町,登米市,平成17年4月1日
宮城県,登米郡豊里町,登米市,平成17年4月1日
宮城県,登米郡米山町,登米市,平成17年4月1日
宮城県,登米郡石越町,登米市,平成17年4月1日
宮城県,登米郡南方町,登米市,平成17年4月1日
宮城県,本吉郡津山町,登米市,平成17年4月1日
宮城県,栗原郡築館町,栗原市,平成17年4月1日
宮城県,栗原郡若柳町,栗原市,平成17年4月1日
宮城県,栗原郡栗駒町,栗原市,平成17年4月1日
宮城県,栗原郡高清水町,栗原市,平成17年4月1日
宮城県,栗原郡一迫町,栗原市,平成17年4月1日
宮城県,栗原郡瀬峰町,栗原市,平成17年4月1日
宮城県,栗原郡鶯沢町,栗原市,平成17年4月1日
宮城県,栗原郡金成町,栗原市,平成17年4月1日
宮城県,栗原郡志波姫町,栗原市,平成17年4月1日
宮城県,栗原郡花山村,栗原市,平成17年4月1日
宮城県,桃生郡河北町,石巻市,平成17年4月1日
宮城県,桃生郡雄勝町,石巻市,平成17年4月1日
宮城県,桃生郡河南町,石巻市,平成17年4月1日
宮城県,桃生郡桃生町,石巻市,平成17年4月1日
宮城県,桃生郡北上町,石巻市,平成17年4月1日
宮城県,牡鹿郡牡鹿町,石巻市,平成17年4月1日
宮城県,加美郡小野田町,加美郡加美町,平成17年4月1日
宮城県,加美郡中新田町,加美郡加美町,平成17年4月1日
宮城県,加美郡宮崎町,加美郡加美町,平成17年4月1日
