"都道府県","変更前","変更後","変更日","典拠"
"宮崎県","宮崎郡清武町","宮崎市","平成22年3月23日","https://www.post.japanpost.jp/zipcode/merge/miyazaki.html"
"宮崎県","西諸県郡野尻町","小林市","平成22年3月23日","https://www.post.japanpost.jp/zipcode/merge/miyazaki.html"
"宮崎県","南那珂郡南郷町","日南市","平成21年3月30日","https://www.post.japanpost.jp/zipcode/merge/miyazaki.html"
"宮崎県","南那珂郡北郷町","日南市","平成21年3月30日","https://www.post.japanpost.jp/zipcode/merge/miyazaki.html"
"宮崎県","東臼杵郡北川町","延岡市","平成19年3月31日","https://www.post.japanpost.jp/zipcode/merge/miyazaki.html"
"宮崎県","西諸県郡須木村","小林市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/miyazaki.html"
"宮崎県","東臼杵郡東郷町","日向市","平成18年2月25日","https://www.post.japanpost.jp/zipcode/merge/miyazaki.html"
"宮崎県","東臼杵郡北方町","延岡市","平成18年2月20日","https://www.post.japanpost.jp/zipcode/merge/miyazaki.html"
"宮崎県","東臼杵郡北浦町","延岡市","平成18年2月20日","https://www.post.japanpost.jp/zipcode/merge/miyazaki.html"
"宮崎県","東臼杵郡南郷村","東臼杵郡美郷町","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/miyazaki.html"
"宮崎県","東臼杵郡西郷村","東臼杵郡美郷町","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/miyazaki.html"
"宮崎県","東臼杵郡北郷村","東臼杵郡美郷町","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/miyazaki.html"
"宮崎県","北諸県郡山之口町","都城市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/miyazaki.html"
"宮崎県","北諸県郡高城町","都城市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/miyazaki.html"
"宮崎県","北諸県郡山田町","都城市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/miyazaki.html"
"宮崎県","北諸県郡高崎町","都城市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/miyazaki.html"
"宮崎県","宮崎郡田野町","宮崎市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/miyazaki.html"
"宮崎県","宮崎郡佐土原町","宮崎市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/miyazaki.html"
"宮崎県","東諸県郡高岡町","宮崎市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/miyazaki.html"
