"都道府県","変更前","変更後","変更日"
"長野県","東筑摩郡波田町","松本市","平成22年3月31日"
"長野県","上水内郡信州新町","長野市","平成22年1月1日"
"長野県","上水内郡中条村","長野市","平成22年1月1日"
"長野県","下伊那郡清内路村","下伊那郡阿智村","平成21年3月31日"
"長野県","上伊那郡高遠町","伊那市","平成18年3月31日"
"長野県","上伊那郡長谷村","伊那市","平成18年3月31日"
"長野県","小県郡丸子町","上田市","平成18年3月6日"
"長野県","小県郡真田町","上田市","平成18年3月6日"
"長野県","小県郡武石村","上田市","平成18年3月6日"
"長野県","北安曇郡八坂村","大町市","平成18年1月1日"
"長野県","北安曇郡美麻村","大町市","平成18年1月1日"
"長野県","下伊那郡浪合村","下伊那郡阿智村","平成18年1月1日"
"長野県","木曽郡木曽福島町","木曽郡木曽町","平成17年11月1日"
"長野県","木曽郡日義村","木曽郡木曽町","平成17年11月1日"
"長野県","木曽郡開田村","木曽郡木曽町","平成17年11月1日"
"長野県","木曽郡三岳村","木曽郡木曽町","平成17年11月1日"
"長野県","東筑摩郡本城村","東筑摩郡筑北村","平成17年10月11日"
"長野県","東筑摩郡坂北村","東筑摩郡筑北村","平成17年10月11日"
"長野県","東筑摩郡坂井村","東筑摩郡筑北村","平成17年10月11日"
"長野県","上水内郡牟礼村","上水内郡飯綱町","平成17年10月1日"
"長野県","上水内郡三水村","上水内郡飯綱町","平成17年10月1日"
"長野県","東筑摩郡明科町","安曇野市","平成17年10月1日"
"長野県","南安曇郡豊科町","安曇野市","平成17年10月1日"
"長野県","南安曇郡穂高町","安曇野市","平成17年10月1日"
"長野県","南安曇郡三郷村","安曇野市","平成17年10月1日"
"長野県","南安曇郡堀金村","安曇野市","平成17年10月1日"
"長野県","下伊那郡上村","飯田市","平成17年10月1日"
"長野県","下伊那郡南信濃村","飯田市","平成17年10月1日"
"長野県","小県郡長門町","小県郡長和町","平成17年10月1日"
"長野県","小県郡和田村","小県郡長和町","平成17年10月1日"
"長野県","南佐久郡臼田町","佐久市","平成17年4月1日"
"長野県","北佐久郡望月町","佐久市","平成17年4月1日"
"長野県","北佐久郡浅科村","佐久市","平成17年4月1日"
"長野県","木曽郡楢川村","塩尻市","平成17年4月1日"
"長野県","下水内郡豊田村","中野市","平成17年4月1日"
"長野県","東筑摩郡四賀村","松本市","平成17年4月1日"
"長野県","南安曇郡奈川村","松本市","平成17年4月1日"
"長野県","南安曇郡安曇村","松本市","平成17年4月1日"
"長野県","南安曇郡梓川村","松本市","平成17年4月1日"
"長野県","南佐久郡佐久町","南佐久郡佐久穂町","平成17年3月20日"
"長野県","南佐久郡八千穂村","南佐久郡佐久穂町","平成17年3月20日"
"長野県","木曽郡山口村","岐阜県中津川市","平成17年2月13日"
"長野県","更級郡大岡村","長野市","平成17年1月1日"
"長野県","上水内郡豊野町","長野市","平成17年1月1日"
"長野県","上水内郡戸隠村","長野市","平成17年1月1日"
"長野県","上水内郡鬼無里村","長野市","平成17年1月1日"
"長野県","北佐久郡北御牧村","東御市","平成16年4月1日"
"長野県","小県郡東部町","東御市","平成16年4月1日"
"長野県","更埴市","千曲市","平成15年9月1日"
"長野県","埴科郡戸倉町","千曲市","平成15年9月1日"
"長野県","更級郡上山田町","千曲市","平成15年9月1日"
