"都道府県","変更前","変更後","変更日","典拠"
"長崎県","北松浦郡江迎町","佐世保市","平成22年3月31日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","北松浦郡鹿町町","佐世保市","平成22年3月31日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","北松浦郡宇久町","佐世保市","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","北松浦郡小佐々町","佐世保市","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南高来郡加津佐町","南島原市","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南高来郡口之津町","南島原市","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南高来郡南有馬町","南島原市","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南高来郡北有馬町","南島原市","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南高来郡西有家町","南島原市","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南高来郡有家町","南島原市","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南高来郡布津町","南島原市","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南高来郡深江町","南島原市","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","西彼杵郡琴海町","長崎市","平成18年1月4日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","北松浦郡福島町","松浦市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","北松浦郡鷹島町","松浦市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南高来郡有明町","島原市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南高来郡国見町","雲仙市","平成17年10月11日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南高来郡瑞穂町","雲仙市","平成17年10月11日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南高来郡吾妻町","雲仙市","平成17年10月11日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南高来郡愛野町","雲仙市","平成17年10月11日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南高来郡千々石町","雲仙市","平成17年10月11日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南高来郡小浜町","雲仙市","平成17年10月11日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南高来郡南串山町","雲仙市","平成17年10月11日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","北松浦郡大島村","平戸市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","北松浦郡生月町","平戸市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","北松浦郡田平町","平戸市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","北松浦郡吉井町","佐世保市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","北松浦郡世知原町","佐世保市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","西彼杵郡西彼町","西海市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","西彼杵郡西海町","西海市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","西彼杵郡大島町","西海市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","西彼杵郡崎戸町","西海市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","西彼杵郡大瀬戸町","西海市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","北高来郡森山町","諫早市","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","北高来郡飯盛町","諫早市","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","北高来郡高来町","諫早市","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","北高来郡小長井町","諫早市","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","西彼杵郡多良見町","諫早市","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","西彼杵郡香焼町・伊王島町・高島町","長崎市","平成17年1月4日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","西彼杵郡野母崎町","長崎市","平成17年1月4日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","西彼杵郡三和町","長崎市","平成17年1月4日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","西彼杵郡外海町","長崎市","平成17年1月4日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南松浦郡若松町","南松浦郡新上五島町","平成16年8月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南松浦郡上五島町","南松浦郡新上五島町","平成16年8月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南松浦郡新魚目町","南松浦郡新上五島町","平成16年8月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南松浦郡有川町","南松浦郡新上五島町","平成16年8月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南松浦郡奈良尾町","南松浦郡新上五島町","平成16年8月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","福江市","五島市","平成16年8月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南松浦郡富江町","五島市","平成16年8月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南松浦郡玉之浦町","五島市","平成16年8月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南松浦郡三井楽町","五島市","平成16年8月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南松浦郡岐宿町","五島市","平成16年8月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","南松浦郡奈留町","五島市","平成16年8月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","下県郡厳原町","対馬市","平成16年3月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","下県郡美津島町","対馬市","平成16年3月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","下県郡豊玉町","対馬市","平成16年3月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","上県郡峰町","対馬市","平成16年3月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","上県郡上県町","対馬市","平成16年3月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","上県郡上対馬町","対馬市","平成16年3月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","壱岐郡郷ノ浦町","壱岐市","平成16年3月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","壱岐郡勝本町","壱岐市","平成16年3月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","壱岐郡芦辺町","壱岐市","平成16年3月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
"長崎県","壱岐郡石田町","壱岐市","平成16年3月1日","https://www.post.japanpost.jp/zipcode/merge/nagasaki.html"
