"都道府県","変更前","変更後","変更日","典拠"
"奈良県","宇陀郡大宇陀町","宇陀市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/nara.html"
"奈良県","宇陀郡菟田野町","宇陀市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/nara.html"
"奈良県","宇陀郡榛原町","宇陀市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/nara.html"
"奈良県","宇陀郡室生村","宇陀市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/nara.html"
"奈良県","吉野郡西吉野村","五條市","平成17年9月25日","https://www.post.japanpost.jp/zipcode/merge/nara.html"
"奈良県","吉野郡大塔村","五條市","平成17年9月25日","https://www.post.japanpost.jp/zipcode/merge/nara.html"
"奈良県","添上郡月ケ瀬村","奈良市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/nara.html"
"奈良県","山辺郡都祁村","奈良市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/nara.html"
"奈良県","北葛城郡新庄町","葛城市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/nara.html"
"奈良県","北葛城郡當麻町","葛城市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/nara.html"
