"都道府県","変更前","変更後","変更日","典拠"
"新潟県","北魚沼郡川口町","長岡市","平成22年3月31日","https://www.post.japanpost.jp/zipcode/merge/niigata.html"
"新潟県","岩船郡荒川町","村上市","平成20年4月1日","https://www.post.japanpost.jp/zipcode/merge/niigata.html"
"新潟県","岩船郡神林村","村上市","平成20年4月1日","https://www.post.japanpost.jp/zipcode/merge/niigata.html"
"新潟県","岩船郡朝日村","村上市","平成20年4月1日","https://www.post.japanpost.jp/zipcode/merge/niigata.html"
"新潟県","岩船郡山北町","村上市","平成20年4月1日","https://www.post.japanpost.jp/zipcode/merge/niigata.html"
"新潟県","西蒲原郡分水町","燕市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/niigata.html"
"新潟県","西蒲原郡吉田町","燕市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/niigata.html"
"新潟県","中蒲原郡村松町","五泉市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/niigata.html"
"新潟県","栃尾市","長岡市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/niigata.html"
"新潟県","三島郡与板町","長岡市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/niigata.html"
"新潟県","三島郡和島村","長岡市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/niigata.html"
"新潟県","三島郡寺泊町","長岡市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/niigata.html"
"新潟県","西蒲原郡巻町","新潟市","平成17年10月10日","https://www.post.japanpost.jp/zipcode/merge/niigata.html"
"新潟県","南魚沼郡塩沢町","南魚沼市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/niigata.html"
"新潟県","北蒲原郡中条町","胎内市","平成17年9月1日","https://www.post.japanpost.jp/zipcode/merge/niigata.html"
"新潟県","北蒲原郡黒川村","胎内市","平成17年9月1日","https://www.post.japanpost.jp/zipcode/merge/niigata.html"
"新潟県","北蒲原郡加治川村","新発田市","平成17年5月1日","https://www.post.japanpost.jp/zipcode/merge/niigata.html"
"新潟県","北蒲原郡紫雲寺町","新発田市","平成17年5月1日","https://www.post.japanpost.jp/zipcode/merge/niigata.html"
"新潟県","刈羽郡高柳町","柏崎市","平成17年5月1日","https://www.post.japanpost.jp/zipcode/merge/niigata.html"
"新潟県","刈羽郡西山町","柏崎市","平成17年5月1日","https://www.post.japanpost.jp/zipcode/merge/niigata.html"
