"都道府県","変更前","変更後","変更日","典拠"
"大分県","東国東郡国見町","国東市","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","東国東郡国東町","国東市","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","東国東郡武蔵町","国東市","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","東国東郡安岐町","国東市","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","大分郡挾間町","由布市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","大分郡庄内町","由布市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","大分郡湯布院町","由布市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","西国東郡大田村","杵築市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","速見郡山香町","杵築市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","直入郡荻町","竹田市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","直入郡久住町","竹田市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","直入郡直入町","竹田市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","大野郡三重町","豊後大野市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","大野郡清川村","豊後大野市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","大野郡緒方町","豊後大野市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","大野郡朝地町","豊後大野市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","大野郡大野町","豊後大野市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","大野郡千歳村","豊後大野市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","大野郡犬飼町","豊後大野市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","宇佐郡院内町","宇佐市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","宇佐郡安心院町","宇佐市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","西国東郡真玉町","豊後高田市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","西国東郡香々地町","豊後高田市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","日田郡前津江村","日田市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","日田郡中津江村","日田市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","日田郡上津江村","日田市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","日田郡大山町","日田市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","日田郡天瀬町","日田市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","南海部郡上浦町","佐伯市","平成17年3月3日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","南海部郡弥生町","佐伯市","平成17年3月3日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","南海部郡本匠村","佐伯市","平成17年3月3日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","南海部郡宇目町","佐伯市","平成17年3月3日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","南海部郡直川村","佐伯市","平成17年3月3日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","南海部郡鶴見町","佐伯市","平成17年3月3日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","南海部郡米水津村","佐伯市","平成17年3月3日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","南海部郡蒲江町","佐伯市","平成17年3月3日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","下毛郡三光村","中津市","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","下毛郡本耶馬渓町","中津市","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","下毛郡耶馬溪町","中津市","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","下毛郡山国町","中津市","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","大野郡野津町","臼杵市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","大分郡野津原町","大分市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
"大分県","北海部郡佐賀関町","大分市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/oita.html"
