"都道府県","変更前","変更後","変更日","典拠"
"岡山県","御津郡建部町","岡山市","平成19年1月22日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","赤磐郡瀬戸町","岡山市","平成19年1月22日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","浅口郡金光町","浅口市","平成18年3月21日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","浅口郡鴨方町","浅口市","平成18年3月21日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","浅口郡寄島町","浅口市","平成18年3月21日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","和気郡佐伯町","和気郡和気町","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","浅口郡船穂町","倉敷市","平成17年8月1日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","吉備郡真備町","倉敷市","平成17年8月1日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","上房郡北房町","真庭市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","真庭郡勝山町","真庭市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","真庭郡落合町","真庭市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","真庭郡湯原町","真庭市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","真庭郡久世町","真庭市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","真庭郡美甘村","真庭市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","真庭郡川上村","真庭市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","真庭郡八束村","真庭市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","真庭郡中和村","真庭市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","阿哲郡大佐町","新見市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","阿哲郡神郷町","新見市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","阿哲郡哲多町","新見市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","阿哲郡哲西町","新見市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","勝田郡勝田町","美作市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","英田郡大原町","美作市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","英田郡東粟倉村","美作市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","英田郡美作町","美作市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","英田郡作東町","美作市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","英田郡英田町","美作市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","御津郡御津町","岡山市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","児島郡灘崎町","岡山市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","久米郡中央町","久米郡美咲町","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","久米郡旭町","久米郡美咲町","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","久米郡柵原町","久米郡美咲町","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","和気郡日生町","備前市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","和気郡吉永町","備前市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","都窪郡山手村","総社市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","都窪郡清音村","総社市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","赤磐郡山陽町","赤磐市","平成17年3月7日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","赤磐郡赤坂町","赤磐市","平成17年3月7日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","赤磐郡熊山町","赤磐市","平成17年3月7日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","赤磐郡吉井町","赤磐市","平成17年3月7日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","苫田郡富村","苫田郡鏡野町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","苫田郡奥津町","苫田郡鏡野町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","苫田郡上齋原村","苫田郡鏡野町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","苫田郡鏡野町","苫田郡鏡野町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","小田郡美星町","井原市","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","後月郡芳井町","井原市","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","苫田郡加茂町","津山市","平成17年2月28日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","苫田郡阿波村","津山市","平成17年2月28日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","勝田郡勝北町","津山市","平成17年2月28日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","久米郡久米町","津山市","平成17年2月28日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","邑久郡牛窓町","瀬戸内市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","邑久郡邑久町","瀬戸内市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","邑久郡長船町","瀬戸内市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","御津郡加茂川町","加賀郡吉備中央町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","上房郡賀陽町","加賀郡吉備中央町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","上房郡有漢町","高梁市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","川上郡成羽町","高梁市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
"岡山県","川上郡川上町","高梁市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/okayama.html"
