"都道府県","変更前","変更後","変更日","典拠"
"沖縄県","島尻郡玉城村","南城市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/okinawa.html"
"沖縄県","島尻郡知念村","南城市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/okinawa.html"
"沖縄県","島尻郡佐敷町","南城市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/okinawa.html"
"沖縄県","島尻郡大里村","南城市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/okinawa.html"
"沖縄県","島尻郡東風平町","島尻郡八重瀬町","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/okinawa.html"
"沖縄県","島尻郡具志頭村","島尻郡八重瀬町","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/okinawa.html"
"沖縄県","平良市","宮古島市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/okinawa.html"
"沖縄県","宮古郡城辺町","宮古島市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/okinawa.html"
"沖縄県","宮古郡下地町","宮古島市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/okinawa.html"
"沖縄県","宮古郡上野村","宮古島市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/okinawa.html"
"沖縄県","宮古郡伊良部町","宮古島市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/okinawa.html"
"沖縄県","石川市","うるま市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/okinawa.html"
"沖縄県","具志川市","うるま市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/okinawa.html"
"沖縄県","中頭郡与那城町","うるま市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/okinawa.html"
"沖縄県","中頭郡勝連町","うるま市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/okinawa.html"
