"都道府県","変更前","変更後","変更日","典拠"
"佐賀県","佐賀郡川副町","佐賀市","平成19年10月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","佐賀郡久保田町","佐賀市","平成19年10月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","佐賀郡東与賀町","佐賀市","平成19年10月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","神埼郡神埼町","神埼市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","神埼郡千代田町","神埼市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","神埼郡脊振村","神埼市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","西松浦郡西有田町","西松浦郡有田町","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","神埼郡三田川町","神埼郡吉野ケ里町","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","神埼郡東脊振村","神埼郡吉野ケ里町","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","杵島郡山内町","武雄市","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","杵島郡北方町","武雄市","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","藤津郡塩田町","嬉野市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","藤津郡嬉野町","嬉野市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","東松浦郡七山村","唐津市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","佐賀郡諸富町","佐賀市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","佐賀郡大和町","佐賀市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","佐賀郡富士町","佐賀市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","神埼郡三瀬村","佐賀市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","小城郡小城町","小城市","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","小城郡三日月町","小城市","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","小城郡牛津町","小城市","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","小城郡芦刈町","小城市","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","三養基郡中原町","三養基郡みやき町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","三養基郡北茂安町","三養基郡みやき町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","三養基郡三根町","三養基郡みやき町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","杵島郡福富町","杵島郡白石町","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","杵島郡有明町","杵島郡白石町","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","東松浦郡浜玉町","唐津市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","東松浦郡厳木町","唐津市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","東松浦郡相知町","唐津市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","東松浦郡北波多村","唐津市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","東松浦郡肥前町","唐津市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","東松浦郡鎮西町","唐津市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
"佐賀県","東松浦郡呼子町","唐津市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/saga.html"
