"都道府県","変更前","変更後","変更日"
"埼玉県","南埼玉郡白岡町","白岡市","平成24年10月1日"
"埼玉県","鳩ケ谷市","川口市","平成23年10月11日"
"埼玉県","北埼玉郡騎西町","加須市","平成22年3月23日"
"埼玉県","北埼玉郡北川辺町","加須市","平成22年3月23日"
"埼玉県","北埼玉郡大利根町","加須市","平成22年3月23日"
"埼玉県","南埼玉郡菖蒲町","久喜市","平成22年3月23日"
"埼玉県","北葛飾郡栗橋町","久喜市","平成22年3月23日"
"埼玉県","北葛飾郡鷲宮町","久喜市","平成22年3月23日"
"埼玉県","大里郡江南町","熊谷市","平成19年2月13日"
"埼玉県","比企郡都幾川村","比企郡ときがわ町","平成18年2月1日"
"埼玉県","比企郡玉川村","比企郡ときがわ町","平成18年2月1日"
"埼玉県","児玉郡児玉町","本庄市","平成18年1月10日"
"埼玉県","児玉郡神泉村","児玉郡神川町","平成18年1月1日"
"埼玉県","大里郡岡部町","深谷市","平成18年1月1日"
"埼玉県","大里郡川本町","深谷市","平成18年1月1日"
"埼玉県","大里郡花園町","深谷市","平成18年1月1日"
"埼玉県","北埼玉郡南河原村","行田市","平成18年1月1日"
"埼玉県","秩父郡両神村","秩父郡小鹿野町","平成17年10月1日"
"埼玉県","北足立郡吹上町","鴻巣市","平成17年10月1日"
"埼玉県","北埼玉郡川里町","鴻巣市","平成17年10月1日"
"埼玉県","上福岡市","ふじみ野市","平成17年10月1日"
"埼玉県","入間郡大井町","ふじみ野市","平成17年10月1日"
"埼玉県","北葛飾郡庄和町","春日部市","平成17年10月1日"
"埼玉県","大里郡大里町","熊谷市","平成17年10月1日"
"埼玉県","大里郡妻沼町","熊谷市","平成17年10月1日"
"埼玉県","秩父郡吉田町","秩父市","平成17年4月1日"
"埼玉県","秩父郡大滝村","秩父市","平成17年4月1日"
"埼玉県","秩父郡荒川村","秩父市","平成17年4月1日"
"埼玉県","岩槻市","さいたま市岩槻区","平成17年4月1日"
"埼玉県","入間郡名栗村","飯能市","平成17年1月1日"
