"都道府県","変更前","変更後","変更日","典拠"
"滋賀県","蒲生郡安土町","近江八幡市","平成22年3月21日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","東浅井郡虎姫町","長浜市","平成22年1月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","東浅井郡湖北町","長浜市","平成22年1月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","伊香郡高月町","長浜市","平成22年1月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","伊香郡木之本町","長浜市","平成22年1月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","伊香郡余呉町","長浜市","平成22年1月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","伊香郡西浅井町","長浜市","平成22年1月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","滋賀郡志賀町","大津市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","愛知郡秦荘町","愛知郡愛荘町","平成18年2月13日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","愛知郡愛知川町","愛知郡愛荘町","平成18年2月13日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","東浅井郡浅井町","長浜市","平成18年2月13日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","東浅井郡びわ町","長浜市","平成18年2月13日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","蒲生郡蒲生町","東近江市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","神崎郡能登川町","東近江市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","坂田郡近江町","米原市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","坂田郡山東町","米原市","平成17年2月14日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","坂田郡伊吹町","米原市","平成17年2月14日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","坂田郡米原町","米原市","平成17年2月14日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","八日市市","東近江市","平成17年2月11日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","神崎郡永源寺町","東近江市","平成17年2月11日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","神崎郡五個荘町","東近江市","平成17年2月11日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","愛知郡愛東町","東近江市","平成17年2月11日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","愛知郡湖東町","東近江市","平成17年2月11日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","高島郡マキノ町","高島市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","高島郡今津町","高島市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","高島郡朽木村","高島市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","高島郡安曇川町","高島市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","高島郡高島町","高島市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","高島郡新旭町","高島市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","甲賀郡水口町","甲賀市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","甲賀郡土山町","甲賀市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","甲賀郡甲賀町","甲賀市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","甲賀郡甲南町","甲賀市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","甲賀郡信楽町","甲賀市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","甲賀郡石部町","湖南市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","甲賀郡甲西町","湖南市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","野洲郡中主町","野洲市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
"滋賀県","野洲郡野洲町","野洲市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/shiga.html"
