"都道府県","変更前","変更後","変更日","典拠"
"島根県","簸川郡斐川町","出雲市","平成23年10月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","八束郡東出雲町","松江市","平成23年8月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","鹿足郡柿木村","鹿足郡吉賀町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","鹿足郡六日市町","鹿足郡吉賀町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","邇摩郡温泉津町","大田市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","邇摩郡仁摩町","大田市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","那賀郡金城町","浜田市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","那賀郡旭町","浜田市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","那賀郡弥栄村","浜田市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","那賀郡三隅町","浜田市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","鹿足郡日原町","鹿足郡津和野町","平成17年9月25日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","仁多郡仁多町","仁多郡奥出雲町","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","仁多郡横田町","仁多郡奥出雲町","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","八束郡鹿島町","松江市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","八束郡島根町","松江市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","八束郡美保関町","松江市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","八束郡八雲村","松江市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","八束郡玉湯町","松江市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","八束郡宍道町","松江市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","八束郡八束町","松江市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","平田市","出雲市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","簸川郡佐田町","出雲市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","簸川郡多伎町","出雲市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","簸川郡湖陵町","出雲市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","簸川郡大社町","出雲市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","飯石郡頓原町","飯石郡飯南町","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","飯石郡赤来町","飯石郡飯南町","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","大原郡大東町","雲南市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","大原郡加茂町","雲南市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","大原郡木次町","雲南市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","飯石郡三刀屋町","雲南市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","飯石郡吉田村","雲南市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","飯石郡掛合町","雲南市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","美濃郡美都町","益田市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","美濃郡匹見町","益田市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","隠岐郡西郷町","隠岐郡隠岐の島町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","隠岐郡布施村","隠岐郡隠岐の島町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","隠岐郡五箇村","隠岐郡隠岐の島町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","隠岐郡都万村","隠岐郡隠岐の島町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","邑智郡羽須美村","邑智郡邑南町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","邑智郡瑞穂町","邑智郡邑南町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","邑智郡石見町","邑智郡邑南町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","邑智郡邑智町","邑智郡美郷町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","邑智郡大和村","邑智郡美郷町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","邑智郡桜江町","江津市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","能義郡広瀬町","安来市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
"島根県","能義郡伯太町","安来市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/shimane.html"
