"都道府県","変更前","変更後","変更日","典拠"
"栃木県","栃木県下都賀郡岩舟町","栃木市","平成26年4月5日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","上都賀郡西方町","栃木市","平成23年10月1日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","下都賀郡大平町","栃木市","平成22年3月29日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","下都賀郡藤岡町","栃木市","平成22年3月29日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","下都賀郡都賀町","栃木市","平成22年3月29日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","芳賀郡二宮町","真岡市","平成21年3月23日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","河内郡上河内町","宇都宮市","平成19年3月31日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","河内郡河内町","宇都宮市","平成19年3月31日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","今市市","日光市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","上都賀郡足尾町","日光市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","塩谷郡栗山村","日光市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","塩谷郡藤原町","日光市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","河内郡南河内町","下野市","平成18年1月10日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","下都賀郡石橋町","下野市","平成18年1月10日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","下都賀郡国分寺町","下野市","平成18年1月10日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","上都賀郡粟野町","鹿沼市","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","那須郡馬頭町","那須郡那珂川町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","那須郡小川町","那須郡那珂川町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","那須郡南那須町","那須烏山市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","那須郡烏山町","那須烏山市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","那須郡湯津上村","大田原市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","那須郡黒羽町","大田原市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","塩谷郡氏家町","さくら市","平成17年3月28日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","塩谷郡喜連川町","さくら市","平成17年3月28日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","安蘇郡田沼町","佐野市","平成17年2月28日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","安蘇郡葛生町","佐野市","平成17年2月28日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","黒磯市","那須塩原市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","那須郡西那須野町","那須塩原市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
"栃木県","那須郡塩原町","那須塩原市","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/tochigi.html"
