"都道府県","変更前","変更後","変更日","典拠"
"徳島県","海部郡海南町","海部郡海陽町","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","海部郡海部町","海部郡海陽町","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","海部郡宍喰町","海部郡海陽町","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","海部郡由岐町","海部郡美波町","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","海部郡日和佐町","海部郡美波町","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","那賀郡那賀川町","阿南市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","那賀郡羽ノ浦町","阿南市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","三好郡三好町","三好郡東みよし町","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","三好郡三加茂町","三好郡東みよし町","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","三好郡三野町","三好市","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","三好郡池田町","三好市","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","三好郡山城町","三好市","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","三好郡井川町","三好市","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","三好郡東祖谷山村","三好市","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","三好郡西祖谷山村","三好市","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","板野郡吉野町","阿波市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","板野郡土成町","阿波市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","阿波郡市場町","阿波市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","阿波郡阿波町","阿波市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","美馬郡半田町","美馬郡つるぎ町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","美馬郡貞光町","美馬郡つるぎ町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","美馬郡一宇村","美馬郡つるぎ町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","美馬郡脇町","美馬市","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","美馬郡美馬町","美馬市","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","美馬郡穴吹町","美馬市","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","美馬郡木屋平村","美馬市","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","那賀郡鷲敷町","那賀郡那賀町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","那賀郡相生町","那賀郡那賀町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","那賀郡上那賀町","那賀郡那賀町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","那賀郡木沢村","那賀郡那賀町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","那賀郡木頭村","那賀郡那賀町","平成17年3月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","麻植郡鴨島町","吉野川市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","麻植郡川島町","吉野川市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","麻植郡山川町","吉野川市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
"徳島県","麻植郡美郷村","吉野川市","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/tokushima.html"
