"都道府県","変更前","変更後","変更日","典拠"
"鳥取県","東伯郡北条町","東伯郡北栄町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","東伯郡大栄町","東伯郡北栄町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","八頭郡郡家町","八頭郡八頭町","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","八頭郡船岡町","八頭郡八頭町","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","八頭郡八東町","八頭郡八頭町","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","西伯郡淀江町","米子市","平成17年3月31日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","西伯郡名和町","西伯郡大山町","平成17年3月28日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","西伯郡中山町","西伯郡大山町","平成17年3月28日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","東伯郡関金町","倉吉市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","西伯郡岸本町","西伯郡伯耆町","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","日野郡溝口町","西伯郡伯耆町","平成17年1月1日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","岩美郡国府町","鳥取市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","岩美郡福部村","鳥取市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","八頭郡河原町","鳥取市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","八頭郡用瀬町","鳥取市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","八頭郡佐治村","鳥取市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","気高郡気高町","鳥取市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","気高郡鹿野町","鳥取市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","気高郡青谷町","鳥取市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","西伯郡西伯町","西伯郡南部町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","西伯郡会見町","西伯郡南部町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","東伯郡羽合町","東伯郡湯梨浜町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","東伯郡泊村","東伯郡湯梨浜町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","東伯郡東郷町","東伯郡湯梨浜町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","東伯郡東伯町","東伯郡琴浦町","平成16年9月1日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
"鳥取県","東伯郡赤碕町","東伯郡琴浦町","平成16年9月1日","https://www.post.japanpost.jp/zipcode/merge/tottori.html"
