"都道府県","変更前","変更後","変更日","典拠"
"富山県","下新川郡宇奈月町","黒部市","平成18年3月31日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
"富山県","新湊市","射水市","平成17年11月1日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
"富山県","射水郡小杉町","射水市","平成17年11月1日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
"富山県","射水郡大門町","射水市","平成17年11月1日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
"富山県","射水郡下村","射水市","平成17年11月1日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
"富山県","射水郡大島町","射水市","平成17年11月1日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
"富山県","西礪波郡福岡町","高岡市","平成17年11月1日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
"富山県","上新川郡大沢野町","富山市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
"富山県","上新川郡大山町","富山市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
"富山県","婦負郡八尾町","富山市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
"富山県","婦負郡婦中町","富山市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
"富山県","婦負郡山田村","富山市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
"富山県","婦負郡細入村","富山市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
"富山県","東礪波郡城端町","南砺市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
"富山県","東礪波郡平村","南砺市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
"富山県","東礪波郡上平村","南砺市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
"富山県","東礪波郡利賀村","南砺市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
"富山県","東礪波郡井波町","南砺市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
"富山県","東礪波郡井口村","南砺市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
"富山県","東礪波郡福野町","南砺市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
"富山県","西礪波郡福光町","南砺市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
"富山県","東礪波郡庄川町","砺波市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/toyama.html"
