"都道府県","変更前","変更後","変更日","典拠"
"和歌山県","那賀郡岩出町","岩出市","平成18年4月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","西牟婁郡日置川町","西牟婁郡白浜町","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","伊都郡高野口町","橋本市","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","有田郡吉備町","有田郡有田川町","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","有田郡金屋町","有田郡有田川町","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","有田郡清水町","有田郡有田川町","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","海草郡野上町","海草郡紀美野町","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","海草郡美里町","海草郡紀美野町","平成18年1月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","那賀郡打田町","紀の川市","平成17年11月7日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","那賀郡粉河町","紀の川市","平成17年11月7日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","那賀郡那賀町","紀の川市","平成17年11月7日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","那賀郡桃山町","紀の川市","平成17年11月7日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","那賀郡貴志川町","紀の川市","平成17年11月7日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","伊都郡花園村","伊都郡かつらぎ町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","東牟婁郡熊野川町","新宮市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","日高郡川辺町","日高郡日高川町","平成17年5月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","日高郡中津村","日高郡日高川町","平成17年5月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","日高郡美山村","日高郡日高川町","平成17年5月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","日高郡龍神村","田辺市","平成17年5月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","西牟婁郡中辺路町","田辺市","平成17年5月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","西牟婁郡大塔村","田辺市","平成17年5月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","東牟婁郡本宮町","田辺市","平成17年5月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","西牟婁郡串本町","東牟婁郡串本町","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","東牟婁郡古座町","東牟婁郡串本町","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","海草郡下津町","海南市","平成17年4月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","日高郡南部川村","日高郡みなべ町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
"和歌山県","日高郡南部町","日高郡みなべ町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/wakayama.html"
