都道府県,変更前,変更後,変更日,"典拠"
山形県,飽海郡八幡町,酒田市,平成17年11月1日,"https://www.post.japanpost.jp/zipcode/merge/yamagata.html"
山形県,飽海郡松山町,酒田市,平成17年11月1日,"https://www.post.japanpost.jp/zipcode/merge/yamagata.html"
山形県,飽海郡平田町,酒田市,平成17年11月1日,"https://www.post.japanpost.jp/zipcode/merge/yamagata.html"
山形県,東田川郡藤島町,鶴岡市,平成17年10月1日,"https://www.post.japanpost.jp/zipcode/merge/yamagata.html"
山形県,東田川郡羽黒町,鶴岡市,平成17年10月1日,"https://www.post.japanpost.jp/zipcode/merge/yamagata.html"
山形県,東田川郡櫛引町,鶴岡市,平成17年10月1日,"https://www.post.japanpost.jp/zipcode/merge/yamagata.html"
山形県,東田川郡朝日村,鶴岡市,平成17年10月1日,"https://www.post.japanpost.jp/zipcode/merge/yamagata.html"
山形県,西田川郡温海町,鶴岡市,平成17年10月1日,"https://www.post.japanpost.jp/zipcode/merge/yamagata.html"
山形県,東田川郡立川町,東田川郡庄内町,平成17年7月1日,"https://www.post.japanpost.jp/zipcode/merge/yamagata.html"
山形県,東田川郡余目町,東田川郡庄内町,平成17年7月1日,"https://www.post.japanpost.jp/zipcode/merge/yamagata.html"
