"都道府県","変更前","変更後","変更日","典拠"
"山口県","阿武郡阿東町","山口市","平成22年1月16日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","美祢郡美東町","美祢市","平成20年3月21日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","美祢郡秋芳町","美祢市","平成20年3月21日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","玖珂郡由宇町","岩国市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","玖珂郡玖珂町","岩国市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","玖珂郡本郷村","岩国市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","玖珂郡周東町","岩国市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","玖珂郡錦町","岩国市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","玖珂郡美川町","岩国市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","玖珂郡美和町","岩国市","平成18年3月20日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","佐波郡徳地町","山口市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","吉敷郡秋穂町","山口市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","吉敷郡小郡町","山口市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","吉敷郡阿知須町","山口市","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","大津郡三隅町","長門市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","大津郡日置町","長門市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","大津郡油谷町","長門市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","小野田市","山陽小野田市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","厚狭郡山陽町","山陽小野田市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","阿武郡川上村","萩市","平成17年3月6日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","阿武郡田万川町","萩市","平成17年3月6日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","阿武郡むつみ村","萩市","平成17年3月6日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","阿武郡須佐町","萩市","平成17年3月6日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","阿武郡旭村","萩市","平成17年3月6日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","阿武郡福栄村","萩市","平成17年3月6日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","玖珂郡大畠町","柳井市","平成17年2月21日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","豊浦郡菊川町","下関市","平成17年2月13日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","豊浦郡豊田町","下関市","平成17年2月13日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","豊浦郡豊浦町","下関市","平成17年2月13日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","豊浦郡豊北町","下関市","平成17年2月13日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","厚狭郡楠町","宇部市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","大島郡久賀町","大島郡周防大島町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","大島郡大島町","大島郡周防大島町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","大島郡東和町","大島郡周防大島町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","大島郡橘町","大島郡周防大島町","平成16年10月1日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","熊毛郡大和町","光市","平成16年10月4日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","新南陽市","周南市","平成15年4月21日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","徳山市","周南市","平成15年4月21日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","熊毛郡熊毛町","周南市","平成15年4月21日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
"山口県","都濃郡鹿野町","周南市","平成15年4月21日","https://www.post.japanpost.jp/zipcode/merge/yamaguchi.html"
